codePayement;tranche;semestre;matricule
01IN;01IN2;S5;20A0657FS
02IN;02T2;S5;17A0611FS
03IN;03T2;S5;18A1087FS
04IN;04T2;S5;16A0029FS
06IN;04T3;S5;19A1995FS
07IN;07T2;S5;17A0763FS
08IN;08T2;S5;18A1307FS
08IN;08T3;S5;17A0793FS
08IN;08T4;S5;16A0046FS
08IN;08T5;S5;18A1094FS
08IN;08T6;S5;17A0696FS
08IN;08T7;S5;18A1743FS
08IN;08T8;S5;17A0726FS
08IN;08T9;S5;20A0691FS
08IN;08T10;S5;16A1153FS
08IN;08T11;S5;18A1093FS
08IN;08T12;S5;17A0718FS
08IN;08T13;S5;17A0921FS
08IN;08T14;S5;18A1554FS
08IN;08T15;S5;18A1132FS
08IN;08T16;S5;19A1653FS
08IN;08T17;S5;18A1133FS
08IN;08T18;S5;17A0797FS
08IN;08T19;S5;17A0927FS
08IN;08T20;S5;19A1334FS
08IN;08T21;S5;16A1047FS
08IN;08T22;S5;16A0767FS
08IN;08T23;S5;18A1154FS
08IN;08T24;S5;20A0664FS
08IN;08T25;S5;16A0208FS
08IN;08T26;S5;17A0785FS
08IN;08T27;S5;18A1104FS
08IN;08T28;S5;17A0788FS
08IN;08T29;S5;18A1135FS
08IN;08T30;S5;16A0200FS
08IN;08T31;S5;20A0683FS
08IN;08T32;S5;18A1127FS
08IN;08T33;S5;20A0678FS
08IN;08T34;S5;19A1648FS
08IN;08T35;S5;17A0783FS
08IN;08T36;S5;18A0932FS
08IN;08T37;S5;18A1131FS
08IN;08T38;S5;17A0933FS
08IN;08T39;S5;18A1128FS
08IN;08T40;S5;18A1130FS
08IN;08T41;S5;16A0189FS
08IN;08T42;S5;18A1151FS
08IN;08T43;S5;17A0743FS
08IN;08T44;S5;17A0799FS
08IN;08T45;S5;17A0930FS
08IN;08T46;S5;17A1129FS
08IN;08T47;S5;16A0742FS
08IN;08T48;S5;17A0900FS
