idUniteEnseignement;categorie;codeUniteEnseignement;libelle;M;A;S;MEN;nbCredit;semestreUE;CC;TPE;TP;EE;matricule
1;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;8;0;0;20A0657FS
2;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;;;0;0;17A0611FS
3;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;8;0;0;18A1087FS
4;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;;;0;0;16A0029FS
5;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;5,5;0;0;19A1995FS
6;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;10;7;0;0;17A0763FS
7;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;13;8;0;0;18A1307FS
8;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;8;0;0;17A0793FS
9;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;7;0;0;16A0046FS
10;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;7,5;0;0;18A1094FS
11;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;;;0;0;17A0696FS
12;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;13;8,5;0;0;18A1743FS
13;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;7,5;0;0;17A0726FS
14;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;5,5;0;0;20A0691FS
15;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;7,5;0;0;16A1153FS
16;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;8,5;0;0;18A1093FS
17;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;7;0;0;17A0718FS
18;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;10;8;0;0;17A0921FS
19;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;13;8;0;0;18A1554FS
20;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;13;8;0;0;18A1132FS
21;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;8;0;0;19A1653FS
22;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;10;7,5;0;0;18A1133FS
23;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;12;8;0;0;17A0797FS
24;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;10;8;0;0;17A0927FS
25;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;10;8,5;0;0;19A1334FS
26;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;;;0;0;16A1047FS
27;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;11;7;0;0;16A0767FS
28;fondamentale;INF356;INGENIERIE DES DONNEES;0;2021;1; ;5;S6;10;8,5;0;0;18A1154FS
