idUniteEnseignement;categorie;codeUniteEnseignement;libelle;M;A;S;MEN;nbCredit;semestreUE;CC;TPE;TP;EE;matricule
1;complementaire;INF335 ;FORMATION BILINGUE;15,3;2021;1;AB;5;S5;12;8;0;13.63;20A0657FS
2;complementaire;INF335 ;FORMATION BILINGUE;14,7;2021;1;AB;5;S5;14,3;8;0;15.23;17A0611FS
3;complementaire;INF335 ;FORMATION BILINGUE;14;2021;2;NV;5;S5;12;8;0;13.65;18A1087FS
4;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;B;5;S5;12;8;0;13.66;16A0029FS
5;complementaire;INF335 ;FORMATION BILINGUE;12;2021;1;AB;5;S5;16;8;0;13.67;19A1995FS
6;complementaire;INF335 ;FORMATION BILINGUE;10;2021;2;P;5;S5;12;8;0;13.68;17A0763FS
7;complementaire;INF335 ;FORMATION BILINGUE;13;2021;1;B;5;S5;12;8;0;13.69;18A1307FS
8;complementaire;INF335 ;FORMATION BILINGUE;12;2021;2;AB;5;S5;20;8;0;13.7;17A0793FS
9;complementaire;INF335 ;FORMATION BILINGUE;14,3;2017;1;AB;5;S5;12;8;0;12;16A0046FS
10;complementaire;INF335 ;FORMATION BILINGUE;12;2021;1;AB;5;S5;14,3;8;0;14,3;18A1094FS
11;complementaire;INF335 ;FORMATION BILINGUE;12;2021;2;NV;5;S5;12;8;0;12;17A0696FS
12;complementaire;INF335 ;FORMATION BILINGUE;16;2021;1;B;5;S5;12;8;0;12;18A1743FS
13;complementaire;INF335 ;FORMATION BILINGUE;12;2018;1;AB;5;S5;16;8;0;16;17A0726FS
14;complementaire;INF335 ;FORMATION BILINGUE;12;2021;2;P;5;S5;12;8;0;12;20A0691FS
15;complementaire;INF335 ;FORMATION BILINGUE;20;2021;1;B;5;S5;12;8;0;12;16A1153FS
16;complementaire;INF335 ;FORMATION BILINGUE;11;2021;2;AB;5;S5;20;8;0;20;18A1093FS
17;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;AB;5;S5;12;8;0;12;17A0718FS
18;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;AB;5;S5;14,3;8;0;14,3;17A0921FS
19;complementaire;INF335 ;FORMATION BILINGUE;11;2021;2;NV;5;S5;12;8;0;12;18A1554FS
20;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;B;5;S5;12;8;0;12;18A1132FS
21;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;AB;5;S5;16;8;0;16;19A1653FS
22;complementaire;INF335 ;FORMATION BILINGUE;11;2021;2;P;5;S5;12;8;0;12;18A1133FS
23;complementaire;INF335 ;FORMATION BILINGUE;11;2021;1;B;5;S5;12;8;0;12;17A0797FS
24;complementaire;INF335 ;FORMATION BILINGUE;11;2021;2;AB;5;S5;20;8;0;13.63;17A0927FS
