idUniteEnseignement;categorie;codeUniteEnseignement;libelle;M;A;S;MEN;nbCredit;semestreUE;CC;TPE;TP;EE;matricule
1;complementaire;INF365;RECHERCHE OPERATIONNEL;12,5;2021;1;AB;5;S5;11,35;8;5;11,35;20A0657FS
2;complementaire;INF365;RECHERCHE OPERATIONNEL;5,23;2021;1;AB;5;S5;14,3;8;5;14,3;17A0611FS
3;complementaire;INF365;RECHERCHE OPERATIONNEL;15,25;2021;2;NV;5;S5;20;8;5;20;18A1087FS
4;complementaire;INF365;RECHERCHE OPERATIONNEL;8,33;2021;1;B;5;S5;12;8;5;12;16A0029FS
5;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;AB;5;S5;12;8;5;12;19A1995FS
6;complementaire;INF365;RECHERCHE OPERATIONNEL;8;2021;2;P;5;S5;17;8;5;17;17A0763FS
7;complementaire;INF365;RECHERCHE OPERATIONNEL;15;2021;1;B;5;S5;12;8;5;12;18A1307FS
8;complementaire;INF365;RECHERCHE OPERATIONNEL;11;2021;2;AB;5;S5;12;8;5;12;17A0793FS
9;complementaire;INF365;RECHERCHE OPERATIONNEL;11,35;2017;1;AB;5;S5;11,35;8;5;11,35;16A0046FS
10;complementaire;INF365;RECHERCHE OPERATIONNEL;14,3;2021;1;AB;5;S5;14,3;8;5;14,3;18A1094FS
11;complementaire;INF365;RECHERCHE OPERATIONNEL;20;2021;2;NV;5;S5;20;8;5;20;17A0696FS
12;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;B;5;S5;12;8;5;12;18A1743FS
13;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2018;1;AB;5;S5;12;8;5;12;17A0726FS
14;complementaire;INF365;RECHERCHE OPERATIONNEL;17;2021;2;P;5;S5;17;8;5;17;20A0691FS
15;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;B;5;S5;12;8;5;12;16A1153FS
16;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;2;AB;5;S5;12;8;5;12;18A1093FS
17;complementaire;INF365;RECHERCHE OPERATIONNEL;11,35;2021;1;AB;5;S5;11,35;8;5;11,35;17A0718FS
18;complementaire;INF365;RECHERCHE OPERATIONNEL;14,3;2021;1;AB;5;S5;14,3;8;5;14,3;17A0921FS
19;complementaire;INF365;RECHERCHE OPERATIONNEL;20;2021;2;NV;5;S5;20;8;5;20;18A1554FS
20;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;B;5;S5;12;8;5;12;18A1132FS
21;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;AB;5;S5;12;8;5;12;19A1653FS
22;complementaire;INF365;RECHERCHE OPERATIONNEL;17;2021;2;P;5;S5;17;8;5;17;18A1133FS
23;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;B;5;S5;12;8;5;12;17A0797FS
24;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;2;AB;5;S5;12;8;5;12;17A0927FS
25;complementaire;INF365;RECHERCHE OPERATIONNEL;11,35;2021;1;AB;5;S5;11,35;8;5;11,35;19A1334FS
26;complementaire;INF365;RECHERCHE OPERATIONNEL;14,3;2021;1;AB;5;S5;14,3;8;5;14,3;16A1047FS
27;complementaire;INF365;RECHERCHE OPERATIONNEL;20;2021;2;NV;5;S5;20;8;5;20;16A0767FS
28;complementaire;INF365;RECHERCHE OPERATIONNEL;12;2021;1;B;5;S5;12;8;5;12;18A1154FS
