idUniteEnseignement;categorie;codeUniteEnseignement;libelle;M;A;S;MEN;nbCredit;semestreUE;CC;TPE;TP;EE;matricule
1;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;15,3;2021;1;AB;5;S5;12;9;0;13.63;20A0657FS
2;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;14,7;2021;1;AB;5;S5;13;9;0;15.23;17A0611FS
3;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;14;2021;2;NV;5;S5;12;9;0;13.65;18A1087FS
4;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;B;5;S5;12;9;0;13.66;16A0029FS
5;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;1;AB;5;S5;8;9;0;13.67;19A1995FS
6;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;10;2021;2;P;5;S5;12;9;0;13.68;17A0763FS
7;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;13;2021;1;B;5;S5;12;9;0;13.69;18A1307FS
8;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;2;AB;5;S5;13;9;0;13.7;17A0793FS
9;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;14,3;2017;1;AB;5;S5;12;9;0;12;16A0046FS
10;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;1;AB;5;S5;13;9;0;14,3;18A1094FS
11;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;2;NV;5;S5;12;9;0;12;17A0696FS
12;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;16;2021;1;B;5;S5;12;9;0;12;18A1743FS
13;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2018;1;AB;5;S5;8;9;0;16;17A0726FS
14;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;2;P;5;S5;12;9;0;12;20A0691FS
15;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;20;2021;1;B;5;S5;12;9;0;12;16A1153FS
16;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;2;AB;5;S5;13;9;0;20;18A1093FS
17;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;AB;5;S5;12;9;0;12;17A0718FS
18;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;AB;5;S5;13;9;0;14,3;17A0921FS
19;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;2;NV;5;S5;12;9;0;12;18A1554FS
20;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;B;5;S5;12;9;0;12;18A1132FS
21;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;AB;5;S5;8;9;0;16;19A1653FS
22;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;2;P;5;S5;12;9;0;12;18A1133FS
23;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;B;5;S5;12;9;0;12;17A0797FS
24;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;2;AB;5;S5;13;9;0;13.63;17A0927FS
25;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;AB;5;S5;14,3;9;0;15.23;19A1334FS
26;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;AB;5;S5;12;9;0;13.65;16A1047FS
27;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;2;NV;5;S5;12;9;0;13.66;16A0767FS
28;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;14,3;2021;1;B;5;S5;16;9;0;13.67;18A1154FS
29;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;1;AB;5;S5;12;9;0;13.7;20A0664FS
30;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;2;P;5;S5;12;9;0;12;16A0208FS
31;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;16;2021;1;B;5;S5;20;9;0;14,3;17A0785FS
32;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;2;AB;5;S5;12;9;0;12;18A1104FS
33;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;12;2021;1;AB;5;S5;14,3;9;0;12;17A0788FS
34;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;20;2021;1;AB;5;S5;12;9;0;16;18A1135FS
35;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;NV;5;S5;12;9;0;12;16A0200FS
36;fondamentale;INF315;CONCEPTION ET ANALYSE DES ALGORITHMES;11;2021;1;B;5;S5;16;9;0;12;20A0683FS
